"|","|__code","|__name","|__description","|__keywords__-","|__keywords","|__children__001","|__children__002","|__children__003","|__children__004","|__children__005","|__children__006","|__children__007","|__children__008","|__parent"
"","","","","","Reproductive Medicine","","","","","","","","",""
"","","","","","Rheumatology","","","","","","","","",""
"","","","","","Urology","","","","","","","","",""
"","","","","","Venereology","","","","","","","","",""
"5bb3ae2bda3c38c71367bd14","G92","Biomedicine & Bioengineering","Organizations that represent physicians who have advanced training in the development, implantation and utilization of cardiac pacemakers, cochlear implants and other hearing aids, artificial limbs and joints and other similar devices.","","Biomedical Engineering","","","","","","","","","5bb3ae2ada3c38c71367bd13"
"","","","","","Biomedicine","","","","","","","","",""
"","","","","","Clinical Engineering","","","","","","","","",""
"","","","","","Rehabilitation Engineering","","","","","","","","",""
"5bb3ae2bda3c38c71367bd15","G94","Geriatrics","Organizations that represent physicians who have advanced training in the medical specialty which provides preventive, diagnostic and treatment services for elderly individuals who have diseases and conditions that are associated with the aging process.","","","","","","","","","","","5bb3ae2ada3c38c71367bd13"
"5bb3ae2bda3c38c71367bd16","G96","Neurology & Neuroscience","Organizations that represent physicians who have advanced training in the medical specialty which provides comprehensive medical management including preventive, diagnostic and treatment services for individuals who have diseases or injuries that affect the central, peripheral or autonomic nervous systems including the brain, cranial nerves, spinal cord, spinal nerves and other related structures.","","Neurology","","","","","","","","","5bb3ae2ada3c38c71367bd13"
"","","","","","Neurosciences","","","","","","","","",""
"5bb3ae2bda3c38c71367bd17","G98","Pediatrics","Organizations that represent physicians who have advanced training in the biological, social and environmental factors that have an influence on a developing child and expertise in diagnosing and treating acute and chronic diseases that are common to children and youth.","","Neonatology","","","","","","","","","5bb3ae2ada3c38c71367bd13"
"","","","","","Perinatology","","","","","","","","",""
"5bb3ae2bda3c38c71367bd18","G9B","Surgical Specialties","Organizations that represent physicians who have advanced training in the medical specialty which diagnoses conditions which require surgical intervention and provide preoperative, operative and postoperative care for surgical patients.","","Colon & Rectal Surgery, Colorectal Surgery","","","","","","","","","5bb3ae2ada3c38c71367bd13"
"","","","","","Cosmetic Surgery","","","","","","","","",""
"","","","","","Neurological Surgery","","","","","","","","",""
"","","","","","Neurosurgery","","","","","","","","",""
"","","","","","Orthopedics","","","","","","","","",""
"","","","","","Orthopedic Surgery","","","","","","","","",""
"","","","","","Plastic Surgery","","","","","","","","",""
"","","","","","Reconstructive Surgery","","","","","","","","",""
"","","","","","Thoracic Surgery","","","","","","","","",""
"","","","","","Traumatology","","","","","","","","",""
"5bb3ae2bda3c38c71367bd19","G99","Voluntary Health Associations & Medical Disciplines Not Elsewhere Classified","Organizations that clearly provide services related to diseases, disorders or medical spcialities where the major purpose is unclear enough that a more specific code cannot be accurately assigned.","","","","","","","","","","","5bb3ae2ada3c38c71367bd13"
"5bb3ae2bda3c38c71367bd1a","I20","Crime Prevention","Organizations that provide information and services that help the public protect themselves from crime or which prevent its occurrence. Also included are organizations that provide a mechanism for reporting crimes. ","","Anti-Crime Patrols","5bb3ae2bda3c38c71367bd1b","","","","","","","","5bc787dada3c38f0620b0246"
"","","","","","Arson Prevention","","","","","","","","",""
"","","","","","Block Parents","","","","","","","","",""
"","","","","","Block Watch","","","","","","","","",""
"","","","","","Child Finger Television","","","","","","","","",""
"","","","","","Citizen Crime Reporting","","","","","","","","",""
"","","","","","Citizen Patrols","","","","","","","","",""
"","","","","","Citizens Crime Watch","","","","","","","","",""
"","","","","","Civilian Crime Patrols","","","","","","","","",""
"","","","","","Community Watch","","","","","","","","",""
"","","","","","Crime Reporting","","","","","","","","",""
"","","","","","Crime Prevention","","","","","","","","",""
"","","","","","Crime Watch","","","","","","","","",""
"","","","","","Crime Stoppers","","","","","","","","",""
"","","","","","Crimebusters","","","","","","","","",""
"","","","","","Crimestoppers","","","","","","","","",""
"","","","","","Crimewatch","","","","","","","","",""
"","","","","","Dangerous Weapons Regulation and Control","","","","","","","","",""
"","","","","","Firearms Control","","","","","","","","",""
"","","","","","Fraud Reporting","","","","","","","","",""
"","","","","","Gun Control","","","","","","","","",""
"","","","","","Hate Crime Prevention","","","","","","","","",""
"","","","","","Home Alert","","","","","","","","",""
"","","","","","Kidnapped Children","","","","","","","","",""
"","","","","","Missing Children","","","","","","","","",""
"","","","","","Missing Persons","","","","","","","","",""
"","","","","","Neighborhood Watch","","","","","","","","",""
"","","","","","Online Crime Prevention","","","","","","","","",""
"","","","","","Self-Defense","","","","","","","","",""
"","","","","","Tip Lines","","","","","","","","",""
"","","","","","Violence Prevention","","","","","","","","",""
"5bb3ae2bda3c38c71367bd1b","I21","Youth Violence Prevention","Organizations that offer a variety of activities for youth who have demonstrated or are at risk for behavior which is likely to be unlawful or to involve them in the juvenile justice system. Also included are community councils, coalitions and other groups whose primary purpose is to prevent delinquency.","","Gang Related","","","","","","","","","5bb3ae2bda3c38c71367bd1a"
"","","","","","Juvenile Delinquency Prevention","","","","","","","","",""
"","","","","","SADD","","","","","","","","",""
"","","","","","Students Against Destructive Decisions","","","","","","","","",""
"","","","","","Students Against Drunk Driving","","","","","","","","",""
"","","","","","Youth Crime Prevention","","","","","","","","",""
"5bb3ae2bda3c38c71367bd1c","I30","Correctional Facilities","Privately operated, community-based nonprofit correctional facilities for adults or juveniles who have been sentenced to imprisonment after conviction for an offense. These facilities serve the same function as government-operated programs, and most operate on a contract with the county or the state.","","Detention of Alleged Law Violators","5bb3ae2cda3c38c71367bd1d","","","","","","","","5bc787dada3c38f0620b0246"
"","","","","","Detention of Law Violators","","","","","","","","",""
"","","","","","Jails","","","","","","","","",""
"","","","","","Penitentiaries","","","","","","","","",""
"","","","","","Prisons","","","","","","","","",""
"5bb3ae2cda3c38c71367bd1d","I31","Half-Way Houses for Offenders & Ex-Offenders","Community-based residential facilities which allow adult and juvenile offenders with satisfactory behavior to transition back to the community during the last months of their sentences or which provide congregate living arrangements and supportive services for ex-offenders to help them successfully reenter the community and become self-sufficient. These facilities are known as work release centers, prerelease centers, rehabilitation centers and group homes for juvenile offenders or status offenders.","","Half-Way Houses for Ex-Offenders","","","","","","","","","5bb3ae2bda3c38c71367bd1c"
"","","","","","Half-Way Houses for Offenders","","","","","","","","",""
"","","","","","Prerelease Centers","","","","","","","","",""
"","","","","","Transitional Care for Ex-Offenders","","","","","","","","",""
"","","","","","Transitional Care for Offenders","","","","","","","","",""
"","","","","","Work Release Centers","","","","","","","","",""
"5bb3ae2cda3c38c71367bd1e","I40","Rehabilitation Services for Offenders","Organizations that provide counseling, job seeking assistance and other nonresidential supportive services that help adult and/or juvenile offenders re-integrate into the community following their release from a correctional facility. ","","Bail Assistance","5bb3ae2cda3c38c71367bd1f","5bb3ae2cda3c38c71367bd20","","","","","","","5bc787dada3c38f0620b0246"
"","","","","","Correctional Restitution","","","","","","","","",""
"","","","","","Court Referral","","","","","","","","",""
"","","","","","Day Reporting Centers","","","","","","","","",""
"","","","","","Electronic Monitoring of Detention","","","","","","","","",""
"","","","","","Ex-Offender Counseling","","","","","","","","",""
"","","","","","Ex-Offender Reentry","","","","","","","","",""
"","","","","","Juvenile Parole","","","","","","","","",""
"","","","","","Parole","","","","","","","","",""
"","","","","","Pre-Release","","","","","","","","",""
"","","","","","Pretrial Electronic Monitoring","","","","","","","","",""
"","","","","","Pretrial Release","","","","","","","","",""
"","","","","","Probation","","","","","","","","",""
"","","","","","Restorative Justice","","","","","","","","",""
"","","","","","Teen Court","","","","","","","","",""
"","","","","","Victim/Offender Reconciliation","","","","","","","","",""
"","","","","","VORP","","","","","","","","",""
"","","","","","Work Furlough","","","","","","","","",""
"","","","","","Work Release","","","","","","","","",""
"","","","","","Youth Court","","","","","","","","",""
"5bb3ae2cda3c38c71367bd1f","I43","Inmate Support","Organizations that provide emotional support, friendship, advice and guidance or other types of support for inmates while they are incarcerated and/or which facilitate contact between inmates and family members.","","Correctional Education","","","","","","","","","5bb3ae2cda3c38c71367bd1e"
"","","","","","Family Visitation","","","","","","","","",""
"","","","","","Family Visitation Support","","","","","","","","",""
"","","","","","Inmate Counseling","","","","","","","","",""
"","","","","","Inmate Pre-Release Reentry","","","","","","","","",""
"","","","","","Inmate Support","","","","","","","","",""
"","","","","","Inmate Visitation","","","","","","","","",""
"","","","","","Inmate Visiting Transportation","","","","","","","","",""
"","","","","","Jail Visitation","","","","","","","","",""
"","","","","","Offender Advocates","","","","","","","","",""
"","","","","","Pregnant/Parenting Inmate Support","","","","","","","","",""
"","","","","","Prison Libraries","","","","","","","","",""
"","","","","","Prison Ministries","","","","","","","","",""
"","","","","","Prison Visitation","","","","","","","","",""
"","","","","","Prisoner Locator","","","","","","","","",""
"","","","","","Volunteer Inmate Visiting","","","","","","","","",""
"","","","","","Volunteer Jail Visiting","","","","","","","","",""
"5bb3ae2cda3c38c71367bd20","I44","Prison Alternatives","Organizations that provide intensive treatment and rehabilitation services for adult or juvenile offenders. The focus of the service is on rehabilitation of the offender rather than preparation for release into the community.","","Adult Diversion","","","","","","","","","5bb3ae2cda3c38c71367bd1e"
"","","","","","Alternatives to Incarceration","","","","","","","","",""
"","","","","","Community Corrections","","","","","","","","",""
"","","","","","Community-Based Correctional Facility","","","","","","","","",""
"","","","","","Day Treatment for Offenders","","","","","","","","",""
"","","","","","Diversion","","","","","","","","",""
"","","","","","Group Homes for Offenders","","","","","","","","",""
"","","","","","Home Confinement","","","","","","","","",""
"","","","","","Housing","","","","","","","","",""
"","","","","","Intensive Supervision of Offenders","","","","","","","","",""
"","","","","","Juvenile Alternative Sentencing","","","","","","","","",""
"","","","","","Juvenile Detention Facilities","","","","","","","","",""
"","","","","","Juvenile Detention Homes","","","","","","","","",""
"","","","","","Juvenile Diversion","","","","","","","","",""
"","","","","","Juvenile Justice System","","","","","","","","",""
"","","","","","Prison Alternatives","","","","","","","","",""
"","","","","","Prison Boot Camps","","","","","","","","",""
"","","","","","Reformatories","","","","","","","","",""
"","","","","","Residential Restitution Centers","","","","","","","","",""
"","","","","","Residential Treatment Facilities for Offenders","","","","","","","","",""
"","","","","","Weekend Sentences","","","","","","","","",""
"5bb3ae2cda3c38c71367bd21","I50","Administration of Justice","Organizations that are concerned with court administration; court reform including the rights and privileges of prisoners, incarceration alternatives and other criminal justice issues; and alternatives to litigation.","","Administration of Justice","5bb3ae2cda3c38c71367bd22","","","","","","","","5bc787dada3c38f0620b0246"
"","","","","","Alternatives to Litigation","","","","","","","","",""
"","","","","","Bail Deviation","","","","","","","","",""
"","","","","","Court Administration","","","","","","","","",""
"","","","","","Court Orientation for Offenders","","","","","","","","",""
"","","","","","Court Reform","","","","","","","","",""
"","","","","","Courts","","","","","","","","",""
"","","","","","Criminal Justice Systems","","","","","","","","",""
"","","","","","Expert Witnesses","","","","","","","","",""
"","","","","","Penal Reform","","","","","","","","",""
"","","","","","Prison Reform","","","","","","","","",""
"5bb3ae2cda3c38c71367bd22","I51","Dispute Resolution & Mediation","Organizations that provide mediation services which help individuals who are having a dispute discuss the situation and reach an agreement without resorting to litigation.","","Alternative Dispute Resolution","","","","","","","","","5bb3ae2cda3c38c71367bd21"
"","","","","","Alternative to Litigation","","","","","","","","",""
"","","","","","Arbitration","","","","","","","","",""
"","","","","","Conflict Resolution","","","","","","","","",""
"","","","","","Dispute Resolution","","","","","","","","",""
"","","","","","Dissolution Assistance","","","","","","","","",""
"","","","","","Labor Mediation","","","","","","","","",""
"","","","","","Landlord/Tenant Mediation","","","","","","","","",""
"","","","","","Mediation","","","","","","","","",""
"","","","","","Mini-Trials","","","","","","","","",""
"5bb3ae2cda3c38c71367bd23","I60","Law Enforcement","Law enforcement associations, advisory councils or other nonprofit community groups that provide advice and direction for police departments; auxiliaries or other community-based organizations that collect and disburse money in aid of injured police officers or in support of local law enforcement activities; and other nonprofit groups that have an interest in law enforcement issues.","","Fraternal Order of Police","","","","","","","","","5bc787dada3c38f0620b0246"
"","","","","","K-9 Police team","","","","","","","","",""
"","","","","","Law Enforcement Agencies","","","","","","","","",""
"","","","","","Police Academies","","","","","","","","",""
"","","","","","Police Auxiliaries","","","","","","","","",""
"","","","","","Police Benefit Associations","","","","","","","","",""
"","","","","","Police Benevolent Associations","","","","","","","","",""
"","","","","","Police Chaplains","","","","","","","","",""
"","","","","","Police Departments","","","","","","","","",""
"","","","","","Police Protective Associations","","","","","","","","",""
"","","","","","Police Reserves","","","","","","","","",""
"","","","","","Police Training","","","","","","","","",""
"","","","","","Sheriffs Associations","","","","","","","","",""
"","","","","","Sheriff's Posse","","","","","","","","",""
"","","","","","Sheriffs Posse","","","","","","","","",""
"5bb3ae2cda3c38c71367bd24","I70","Protection Against Abuse","Organizations that attempt to reduce the incidence of child abuse, elder abuse and spouse abuse in family settings through educational interventions which may focus on children of various ages, parents, people who work with families and/or the community at large.","","Abuse of the Elderly","5bb3ae2cda3c38c71367bd25","5bb3ae2cda3c38c71367bd26","5bb3ae2cda3c38c71367bd27","","","","","","5bc787dada3c38f0620b0246"
"","","","","","Abuse Prevention","","","","","","","","",""
"","","","","","Crimes Against the Elderly","","","","","","","","",""
"","","","","","Domestic Violence","","","","","","","","",""
"","","","","","Elder Abuse","","","","","","","","",""
"","","","","","Granny Bashing","","","","","","","","",""
"","","","","","Granny Dumping","","","","","","","","",""
"","","","","","King Lear Syndrome","","","","","","","","",""
"","","","","","Violence in the Family","","","","","","","","",""
"","","","","","Violence Prevention","","","","","","","","",""
"","","","","","Violent Families","","","","","","","","",""
"5bb3ae2cda3c38c71367bd25","I71","Spouse Abuse Prevention","Organizations that deal specifically with the prevention of domestic violence through educational interventions which may focus on batterers, people at risk for domestic violence, people who work with battered women and/or the community at large.","","Battered Husbands","","","","","","","","","5bb3ae2cda3c38c71367bd24"
"","","","","","Battered Wives","","","","","","","","",""
"","","","","","Conjugal Crime Prevention","","","","","","","","",""
"","","","","","Domestic Abuse Prevention","","","","","","","","",""
"","","","","","Domestic Rape Prevention","","","","","","","","",""
"","","","","","Domestic Violence","","","","","","","","",""
"","","","","","Husband Abuse Prevention","","","","","","","","",""
"","","","","","Marital Rape Prevention","","","","","","","","",""
"","","","","","Spousal Abuse Prevention","","","","","","","","",""
"","","","","","Wife Abuse Prevention","","","","","","","","",""
"5bb3ae2cda3c38c71367bd26","I72","Child Abuse Prevention","Organizations that deal specifically with the prevention of child abuse including incest through educational interventions which may focus on children of various ages, parents, people who work with families and/or the community at large.","","Abuse of Children","","","","","","","","","5bb3ae2cda3c38c71367bd24"
"","","","","","Abused Children","","","","","","","","",""
"","","","","","Abusive Parents","","","","","","","","",""
"","","","","","Battered Children","","","","","","","","",""
"","","","","","CAC","","","","","","","","",""
"","","","","","Child Abuse Hotlines","","","","","","","","",""
"","","","","","Child Abuse Prevention","","","","","","","","",""
"","","","","","Child Neglect","","","","","","","","",""
"","","","","","Child Protection","","","","","","","","",""
"","","","","","Cruelty to Children","","","","","","","","",""
"","","","","","Domestic Violence","","","","","","","","",""
"","","","","","Incest","","","","","","","","",""
"","","","","","Infanticide","","","","","","","","",""
"","","","","","Parents Anonymous","","","","","","","","",""
"","","","","","Prevention of Child Mistreatment","","","","","","","","",""
"","","","","","Shaken Baby Syndrome","","","","","","","","",""
"5bb3ae2cda3c38c71367bd27","I73","Sexual Abuse Prevention","Organizations that deal specifically with the prevention of sexual assault (for adults and children).","","Child Molestation Prevention","","","","","","","","","5bb3ae2cda3c38c71367bd24"
"","","","","","Dating Violence Prevention","","","","","","","","",""
"","","","","","Domestic Violence","","","","","","","","",""
"","","","","","Rape Prevention","","","","","","","","",""
"","","","","","Sexual Assault Prevention","","","","","","","","",""
"","","","","","Sex Offender Registration","","","","","","","","",""
"5bb3ae2cda3c38c71367bd28","I80","Legal Services","Organizations that provide general legal aid regarding criminal and/or civil matters at little or no cost for individuals who are economically disadvantaged.","","Court-appointed Counsel","5bb3ae2cda3c38c71367bd29","","","","","","","","5bc787dada3c38f0620b0246"
"","","","","","Discrimination Assistance","","","","","","","","",""
"","","","","","Equal Employment Opportunity","","","","","","","","",""
"","","","","","Fair Housing","","","","","","","","",""
"","","","","","Fair Housing Counseling","","","","","","","","",""
"","","","","","Guardians ad Litem","","","","","","","","",""
"","","","","","Guardianship","","","","","","","","",""
"","","","","","Housing Discrimination Assistance","","","","","","","","",""
"","","","","","Housing Discrimination Counseling","","","","","","","","",""
"","","","","","Landlord/Tenant Law","","","","","","","","",""
"","","","","","Legal Aid","","","","","","","","",""
"","","","","","Legal Aid to the Poor","","","","","","","","",""
"","","","","","Legal Counseling","","","","","","","","",""
"","","","","","Legal Representation","","","","","","","","",""
"","","","","","Legal Services for Indigents","","","","","","","","",""
"","","","","","Pro Bono Cases","","","","","","","","",""
"","","","","","Public Defenders","","","","","","","","",""
"5bb3ae2cda3c38c71367bd29","I83","Public Interest Law","Organizations that primarily handle class action litigation and lawsuits related to issues of interest to the public in general rather than assisting individuals.","","Class Action Lawsuits","","","","","","","","","5bb3ae2cda3c38c71367bd28"
"","","","","","Public Interest Law","","","","","","","","",""
"","","","","","Public Interest Litigation","","","","","","","","",""
"5bb3ae2cda3c38c71367bd2a","I99","Crime & Legal-Related Not Elsewhere Classified","Organizations that clearly provide crime and legal related services where the major purpose is unclear enough that a more specific code cannot be accurately assigned.","","","","","","","","","","","5bc787dada3c38f0620b0246"
"5bb3ae2cda3c38c71367bd2b","J20","Employment Preparation & Procurement","Organizations that help people prepare for, find, secure and retain suitable employment. ","","Bonding for Employment","5bb3ae2cda3c38c71367bd2c","5bb3ae2cda3c38c71367bd2d","","","","","","","5bc787dada3c38f0620b0247"
"","","","","","Business Attire","","","","","","","","",""
"","","","","","Dislocated Workers Training","","","","","","","","",""
"","","","","","Displaced Homemakers","","","","","","","","",""
"","","","","","Dress for Success","","","","","","","","",""
"","","","","","Employment Acquisition","","","","","","","","",""
"","","","","","Employment Agencies","","","","","","","","",""
"","","","","","Employment Placement Agencies","","","","","","","","",""
"","","","","","Employment Preparation","","","","","","","","",""
"","","","","","Employment Procurement","","","","","","","","",""
"","","","","","Employment Referrals","","","","","","","","",""
"","","","","","Employment Resource Center","","","","","","","","",""
"","","","","","Employment Retraining","","","","","","","","",""
"","","","","","Employment Screening/Finding","","","","","","","","",""
"","","","","","Equal Employment Opportunity","","","","","","","","",""
"","","","","","Foreign Employment","","","","","","","","",""
"","","","","","Job Banks","","","","","","","","",""
"","","","","","Job Clubs","","","","","","","","",""
"","","","","","Job Counseling and Placement","","","","","","","","",""
"","","","","","Job Fairs","","","","","","","","",""
"","","","","","Job Information Clearinghouses","","","","","","","","",""
"","","","","","Job Information Lines","","","","","","","","",""
"","","","","","Job Interview Training","","","","","","","","",""
"","","","","","Job Listings","","","","","","","","",""
"","","","","","Job Placement Assistance","","","","","","","","",""
"","","","","","Job Readiness","","","","","","","","",""
"","","","","","Job Referrals","","","","","","","","",""
"","","","","","Job Search Assistance","","","","","","","","",""
"","","","","","Job Search Resource Center","","","","","","","","",""
"","","","","","Occupational Retraining","","","","","","","","",""
"","","","","","Occupational Training for Dislocated Workers","","","","","","","","",""
"","","","","","OICs","","","","","","","","",""
"","","","","","Opportunities Industrialization Centers","","","","","","","","",""
"","","","","","Post Employment Assistance","","","","","","","","",""
"","","","","","Pre-Job Guidance","","","","","","","","",""
"","","","","","Reentry Training","","","","","","","","",""
"","","","","","Resume Preparation Assistance","","","","","","","","",""
"","","","","","Retraining","","","","","","","","",""
"","","","","","SCSEP","","","","","","","","",""
"","","","","","Senior Citizen Employment","","","","","","","","",""
"","","","","","Senior Community Service Employment","","","","","","","","",""
"","","","","","SER-Jobs for Progress","","","","","","","","",""
"","","","","","Title V","","","","","","","","",""
"","","","","","Work Reentry Training","","","","","","","","",""
"5bb3ae2cda3c38c71367bd2c","J21","Vocational Counseling","Organizations that administer tests which measure the skills, abilities and interests of job seekers and help them make appropriate decisions regarding an occupational field or position.","","Assessment Testing","","","","","","","","","5bb3ae2cda3c38c71367bd2b"
"","","","","","Career Awareness","","","","","","","","",""
"","","","","","Career Counseling","","","","","","","","",""
"","","","","","Career Development","","","","","","","","",""
"","","","","","Career Goals","","","","","","","","",""
"","","","","","Career Guidance","","","","","","","","",""
"","","","","","Career Planning","","","","","","","","",""
"","","","","","Employment Aptitude Testing","","","","","","","","",""
"","","","","","Employment Counseling","","","","","","","","",""
"","","","","","Employment Interest Measures","","","","","","","","",""
"","","","","","Interest Inventories","","","","","","","","",""
"","","","","","Job Counseling","","","","","","","","",""
"","","","","","Vocational Assessment","","","","","","","","",""
"","","","","","Vocational Counseling","","","","","","","","",""
"","","","","","Vocational Guidance","","","","","","","","",""
"","","","","","Vocational Information","","","","","","","","",""
"","","","","","Vocational Testing","","","","","","","","",""
"5bb3ae2cda3c38c71367bd2d","J22","Job Training","Organizations that train people in the specific skills they will need to obtain employment in a particular industry or which provide work experience for youth or others who have no employment history.","","Apprenticeship & Training Trusts","","","","","","","","","5bb3ae2cda3c38c71367bd2b"
"","","","","","Apprenticeships","","","","","","","","",""
"","","","","","Community Work & Training","","","","","","","","",""
"","","","","","Employment Training","","","","","","","","",""
"","","","","","Field Experience","","","","","","","","",""
"","","","","","Industrial Training","","","","","","","","",""
"","","","","","In-service Training","","","","","","","","",""
"","","","","","Internships","","","","","","","","",""
"","","","","","Job Corps","","","","","","","","",""
"","","","","","Job Training","","","","","","","","",""
"","","","","","Jobs Training Partnership Act","","","","","","","","",""
"","","","","","JTPA","","","","","","","","",""
"","","","","","JTPA Summer","","","","","","","","",""
"","","","","","Manpower Training","","","","","","","","",""
"","","","","","Occupational Training","","","","","","","","",""
"","","","","","On-the-Job Training","","","","","","","","",""
"","","","","","Personnel Training","","","","","","","","",""
"","","","","","Practice Teaching","","","","","","","","",""
"","","","","","Practicums","","","","","","","","",""
"","","","","","Public Employment & Training","","","","","","","","",""
"","","","","","Residency","","","","","","","","",""
"","","","","","School to Career","","","","","","","","",""
"","","","","","School to Work","","","","","","","","",""
"","","","","","Senior Community Service Employment","","","","","","","","",""
"","","","","","Student Field Work","","","","","","","","",""
"","","","","","Summer Youth Employment","","","","","","","","",""
"","","","","","Title IIA","","","","","","","","",""
"","","","","","Title IIB","","","","","","","","",""
"","","","","","Title IIC","","","","","","","","",""
"","","","","","Welfare to Work","","","","","","","","",""
"","","","","","WIA","","","","","","","","",""
"","","","","","Work & Training","","","","","","","","",""
"","","","","","Work Experience","","","","","","","","",""
"","","","","","Workfare","","","","","","","","",""
"","","","","","Workforce Development","","","","","","","","",""
"","","","","","Workforce Investment Act","","","","","","","","",""
"","","","","","Youth Corps","","","","","","","","",""
"","","","","","Youth Job Training & Employment","","","","","","","","",""
"5bb3ae2cda3c38c71367bd2e","J30","Vocational Rehabilitation","Organizations that provide job training and employment experiences for individuals with disabilities, people who have been disabled by use of drugs or alcohol or people with emotional difficulties, with the objective of helping them to become economically self-sufficient.","","Employment for Disabled Persons","5bb3ae2cda3c38c71367bd2f","5bb3ae2cda3c38c71367bd30","","","","","","","5bc787dada3c38f0620b0247"
"","","","","","Employment for the Homebound","","","","","","","","",""
"","","","","","Homebound Employment","","","","","","","","",""
"","","","","","Housebound Employment","","","","","","","","",""
"","","","","","Job Coach","","","","","","","","",""
"","","","","","On-the-Job Coaching","","","","","","","","",""
"","","","","","Supported Employment","","","","","","","","",""
"","","","","","Work Adjustment Training","","","","","","","","",""
"5bb3ae2cda3c38c71367bd2f","J32","Goodwill Industries","Goodwill Industries sites.","","","","","","","","","","","5bb3ae2cda3c38c71367bd2e"
"5bb3ae2cda3c38c71367bd30","J33","Sheltered Employment","Organizations that provide paid employment opportunities in a controlled, protected environment for people with disabilities who are unable to obtain competitive employment. Also included are work activity centers which provide personal and social development opportunities for participants who have demonstrated inconsequential production capacity.","","Remunerative Sheltered Employment","","","","","","","","","5bb3ae2cda3c38c71367bd2e"
"","","","","","Sheltered Employment","","","","","","","","",""
"","","","","","Sheltered Remunerative Employment","","","","","","","","",""
"","","","","","Sheltered Work Activity Centers","","","","","","","","",""
"","","","","","Sheltered Workshops","","","","","","","","",""
"5bb3ae2cda3c38c71367bd31","K30","Food Programs","Organizations that provide access to free or low-cost food products to children, seniors, or indigents by distributing groceries, providing meals, providing facilities for storing food or making available land on which people can grow their own produce. ","","Baby Food Suppliers","5bb3ae2dda3c38c71367bd32","5bb3ae2dda3c38c71367bd33","5bb3ae2dda3c38c71367bd34","5bb3ae2dda3c38c71367bd35","","","","","5bc787dada3c38f0620b0248"
"","","","","","Commodity Distribution","","","","","","","","",""
"","","","","","Community Food Gardening","","","","","","","","",""
"","","","","","Cooperative Food Purchasing","","","","","","","","",""
"","","","","","Emergency Food","","","","","","","","",""
"","","","","","Farmers Markets","","","","","","","","",""
"","","","","","Food Aid","","","","","","","","",""
"","","","","","Food Assistance","","","","","","","","",""
"","","","","","Food Baskets","","","","","","","","",""
"","","","","","Food Cooperatives","","","","","","","","",""
"","","","","","Food Co-ops","","","","","","","","",""
"","","","","","Food Distribution","","","","","","","","",""
"","","","","","Food Gleaning","","","","","","","","",""
"","","","","","Food Lines","","","","","","","","",""
"","","","","","Food Vouchers","","","","","","","","",""
"","","","","","Groceries on Wheels","","","","","","","","",""
"","","","","","Grocery Vouchers","","","","","","","","",""
"5bb3ae2dda3c38c71367bd32","K31","Food Banks & Pantries","Organizations that gather, store and distribute food to indigents at no charge or at low cost.","","Food Banks","","","","","","","","","5bb3ae2cda3c38c71367bd31"
"","","","","","Food Clearinghouse","","","","","","","","",""
"","","","","","Food Closet","","","","","","","","",""
"","","","","","Food Outlets","","","","","","","","",""
"","","","","","Food Pantries","","","","","","","","",""
"","","","","","Food Supplement Distribution","","","","","","","","",""
"","","","","","Free Food Distribution","","","","","","","","",""
"","","","","","Surplus Commodity Distribution","","","","","","","","",""
"5bb3ae2dda3c38c71367bd33","K34","Congregate Meals","Organizations (also known as nutrition sites or senior nutrition programs) that provide hot meals on a regular basis, usually for elderly individuals but also for disabled adults or other target populations.","","Adult Care Feeding","","","","","","","","","5bb3ae2cda3c38c71367bd31"
"","","","","","Child Care Feeding","","","","","","","","",""
"","","","","","Child Nutrition","","","","","","","","",""
"","","","","","Group Meals","","","","","","","","",""
"","","","","","Low-Cost Meals","","","","","","","","",""
"","","","","","Meal Vouchers","","","","","","","","",""
"","","","","","Milk Programs","","","","","","","","",""
"","","","","","Nutrition Sites","","","","","","","","",""
"","","","","","School Breakfasts","","","","","","","","",""
"","","","","","School Lunches","","","","","","","","",""
"","","","","","Summer Food Service","","","","","","","","",""
"","","","","","Senior Nutrition Sites","","","","","","","","",""
"5bb3ae2dda3c38c71367bd34","K35","Soup Kitchens","Organizations that provide meals in a central location for indigent people.","","Homeless Meals","","","","","","","","","5bb3ae2cda3c38c71367bd31"
"","","","","","Meals for Homeless People","","","","","","","","",""
"","","","","","Soup Kitchens","","","","","","","","",""
"5bb3ae2dda3c38c71367bd35","K36","Meals on Wheels","Organizations that prepare and deliver regular hot meals to elderly individuals, people with disabilities or people with AIDS or other targeted conditions who are unable to shop and/or prepare food for themselves or to travel to a site where a meal is being served. Also known as home delivered meals.","","Home Delivered Meals","","","","","","","","","5bb3ae2cda3c38c71367bd31"
"","","","","","Home Meals","","","","","","","","",""
"","","","","","Meals on Wheels","","","","","","","","",""
"","","","","","Mobile Meals","","","","","","","","",""
"5bb3ae2dda3c38c71367bd36","K40","Nutrition","Organizations that provide information concerning the basic principles of healthful eating, food handling, food preparation and shopping skills. Included is information about the basic food groups, vitamin and mineral requirements, and the relationship of nutrition to the preservation of good health and the prevention of illness.","","Basic Food Groups","","","","","","","","","5bc787dada3c38f0620b0248"
"","","","","","Healthful Eating","","","","","","","","",""
"","","","","","Nutrition Assistance","","","","","","","","",""
"","","","","","Nutrition Education","","","","","","","","",""
"","","","","","Special Supplemental Nutrition for Women, Infants and Children","","","","","","","","",""
